0,noto,233460,32209.073312
1,piangea,4741192,81176.622633
2,spenti!,1014671, 4476.013614
3,misericordia,496325,61628.929334
4,quando,4476757,10838.641053
5,Arrio,3754104,99560.485603
6,terra,4271997, 4410.390699
7,giace;,4896376,23517.728303
8,fornito,2735414,68601.754091
9,ferro,2163766,59111.526206
10,Parisi?».,2369159,85156.781672
11,quali,1188961,44967.270641
12,occhio,3843159,13586.470847
13,Clïò,2146160,48243.610119
14,donna,3119429,22818.165048
15,segnor,4120770,79957.986270
16,noto,4599783,91798.216288
17,rezzo;,4606238,25986.016683
18,sono,872018,67866.844358
19,così,2360017,11812.276168
20,Guido,1337499, 7534.889704
21,Isifile,1348323,81317.768634
22,Donna,1115348,36400.967256
23,labbra,1677122,77937.442951
24,biondo,4562917,27489.326391
25,qualunque,2570634,69433.601852
26,ver',1200616,26743.523287
27,manda,4961851,23357.736222
28,diversamente,1859749,68746.634939
29,appetibili,2479328,82973.910109
30,quanto,2050631,65515.304742
31,questa,1380061,32743.834321
32,nostra,246733,35516.341142
33,sinistra,4888510,42178.975005
34,pastori,2900650,44651.941602
35,tenuto,837404,66367.752719
36,mosterrà,1882381,59133.765665
37,Cotal,3812543,53801.100029
38,lui:,4889768, 9561.616600
39,carole.,220718,68781.368756
40,questa,1771302,30899.938205
41,oramai,1065736, 9736.532760
42,Isifile,3072457, 4883.740674
43,Allor,4395887,89908.787834
44,così,4690978,64767.168154
45,altrui,1175684, 5659.325991
46,tardar,4558239,30621.163534
47,presi;,905258,54918.495520
48,l'ali,3135302,88085.133288
49,questo,155330,49989.297741
50,ch'a,2421788,90806.450594
51,ambedue,4519440,18783.062390
52,insieme,163084, 1023.254384
53,danni».,306280,51898.645021
54,noma,4712214,94454.635400
55,sparte,1529480,47001.735951
56,alquanto,498581,64898.953206
57,vedrai,2131789,96966.008642
58,servo,2152698,59558.021796
59,eravam,1196127,96696.323045
60,procedesse,4837871,71162.857607
61,iniqua,3693526,34786.926020
62,Secondo,3839336,93137.948827
63,Dianzi,2010124,65464.350104
64,perché,2698963, 7917.402646
65,occhi,3935541,68673.881163
66,superbo,2053989,27578.715952
67,acume.,955210,61482.895212
68,comincia,3467145, 3611.799994
69,nasce,593213,80140.374724
70,angeli,1830042,47047.616032
71,cotal,4916046,68466.193147
72,'mmonito,4735049,70679.773697
73,XXIV,1172108,98446.695885
74,altro,531864,67331.602286
75,Dopo,7426,94169.016099
76,Quelli,850473,51138.748388
77,l'altre,4198073,53362.196176
78,Giudei,500425,88314.828643
79,combatte!».,252874,80422.110831
80,branche,4175820,13610.271504
81,corrente,4144934,94503.145480
82,figliastro,4455333,14102.514803
83,sono,4773712,28171.418572
84,cento,706939,56994.777958
85,verde,1170026,62447.071267
86,poeta,3593696,29987.319983
87,Avete,2093600,68335.590657
88,Senna,2812182,60016.452728
89,sarai,2226343,48401.300256
90,occhi,3035677,60078.945171
91,giusto,426510,26331.473122
92,giusto,2286023,57239.737033
93,Avete,3719816,67244.396857
94,vuol,3904902,77556.192398
95,voce,4139075,50859.670050
96,volse,2202968,40066.427588
97,scudo,1426266,84707.086669
98,declaragioni,747244,77715.522809
99,contro,4272182,88854.634270
100,arda;,643295,85010.842059
101,Mentre,3060326,34408.883948
102,acciò,1235853,62577.363637
103,tutte,1676523,13229.534244
104,sarai,93675,53362.180264
105,credo,2291521,97542.451156
106,rombo,2072729, 1987.717571
107,'Qui,4017375,88454.258404
108,etterno,3201085,84390.056351
